Chapter,Topic,Question,Equation,Answer
Alcohols Phenols Ethers,Alcohol Tests,What is the observation in sodium test?,2ROH + 2Na → 2RONa + H2,"Effervescence due to hydrogen gas evolution is observed, confirming alcohol."
Equilibrium,Acid–Base Theory,Explain effect of dilution on pH of strong acid.,C ↓ → [H+] ↓,"Dilution decreases concentration directly, so pH increases significantly."
Polymers,Polymer Types,Why does branching reduce polymer density?,less efficient packing,Branched chains cannot pack closely together.
Amines,Amine Formation,Predict product when CH3Br reacts with excess NH3.,CH3Br + 2NH3 → CH3NH2 + NH4Br,Methyl bromide reacts with ammonia via SN2 mechanism. Excess ammonia ensures formation of primary amine (methylamine) by suppressing further alkylation.
Carboxylic Acids,Carboxylic Acid Reactions,Predict product: CH3COONa + soda lime.,CH3COONa → CH4 + Na2CO3,Decarboxylation removes CO2 forming alkane with one less carbon.
Hydrocarbons,Alkene Formation,Explain anti-periplanar requirement in elimination.,anti β-H and X → alkene,β-Hydrogen and leaving group must align opposite for effective orbital overlap in E2 elimination.
Alcohols Phenols Ethers,Ether Reactions,Predict products when ethyl phenyl ether reacts with HI.,C6H5OC2H5 + HI → C6H5OH + C2H5I,"In aryl alkyl ethers, cleavage always occurs at the alkyl side because the aryl–O bond is stronger due to resonance. Therefore, ethyl iodide and phenol are formed."
Carboxylic Acids,Carboxylic Acid Properties,Explain solubility trend in carboxylic acids.,R–COOH + H2O ⇌ hydrogen bonding,"Short-chain acids are soluble, long-chain acids become less soluble due to hydrophobic nature."
Aldehydes and Ketones,Ketone Reactions,"What is reaction with 2,4-DNP?","R–CO–R' + 2,4-DNP → hydrazone + H2O","Ketones react with 2,4-dinitrophenylhydrazine forming colored precipitate indicating carbonyl group."
States of Matter,Real Gases,Why are real gas studies important in thermodynamics?,accurate description of natural systems,Real systems rarely behave ideally.
Equilibrium,Chemical Equilibrium,What is homogeneous equilibrium?,Same phase,Gas or solution equilibrium
Physical Chemistry,Gas Stoichiometry,What is molar volume at STP?,22.4 L mol−1,Molar volume is volume occupied by one mole gas at STP.
States of Matter,Gas Laws,What is compressibility factor?,Z = PV/nRT,Compressibility factor measures deviation from ideal behavior.
Haloalkanes and Haloarenes,Haloarene Concepts,Explain resonance stabilization of Meisenheimer complex.,Meisenheimer complex resonance,Negative charge formed after nucleophilic addition is delocalized onto nitro group through resonance lowering intermediate energy.
Hydrocarbons,Alkene Reactions,Explain formation of glycol using KMnO4.,C=C + [O] + H2O → vicinal diol,Cold dilute alkaline KMnO4 oxidizes alkenes to vicinal glycols.
Equilibrium,Le Chatelier Principle,What happens when pressure increases?,Shift to fewer moles,Reduces pressure
Alcohols Phenols Ethers,Ether Properties,Which is more soluble in water: diethyl ether or ethanol?,R–O–R + H2O ⇌ limited H-bonding ; R–OH + H2O ⇌ strong H-bonding,"Ethanol is more soluble because it can both donate and accept hydrogen bonds, forming strong interactions with water. Diethyl ether can only accept hydrogen bonds, so its solubility is lower."
Physical Chemistry,Mole Concept,What is Avogadro number?,NA = 6.022 × 10^23,Avogadro number represents the number of particles present in one mole of a substance.
Aldehydes and Ketones,Ketone Formation,Explain stability and structure of acylium ion.,RCO+ ⇌ resonance forms,Acylium ion is stabilized by resonance between R–C≡O⁺ and R–C=O⁺ structures. This stabilization prevents rearrangement and ensures formation of correct ketone.
Physical Chemistry,Stoichiometry,Why are gas volumes directly related to mole ratios?,Avogadro’s law,Equal gas volumes at same conditions contain equal number of molecules.
Haloalkanes and Haloarenes,Haloalkane Formation,Predict stereochemistry in SN2 reaction.,R–OH + X− → R–X,Product shows inversion of configuration due to backside attack.
Hydrocarbons,Alkane Formation,Predict carbon count in decarboxylation.,RCOONa → R–H,Number of carbons decreases by one because carboxyl group leaves as CO2.
Haloalkanes and Haloarenes,Haloarene Reactions,Explain significance of haloarene reactions.,Ar–X → useful aromatic compounds,"Haloarenes are valuable intermediates for preparing phenols, amines, biphenyls, and organometallic compounds."
Alcohols Phenols Ethers,Ether Reactions,What happens when ether reacts with one mole of HI?,R–O–R' + HI → RI + R'OH,Ether reacts with one mole of HI to form one alkyl iodide and one alcohol.
Hydrocarbons,Alkyne Formation,Predict reagent for preparing cis-alkene from alkyne.,RC≡CR + H2 → cis-alkene,Lindlar catalyst selectively forms cis-alkene by syn addition.
Thermodynamics,Enthalpy,What is standard enthalpy change?,enthalpy under standard conditions,It is enthalpy measured at standard state.
Carboxylic Acids,Carboxylic Acid Reactions,How are esters formed from carboxylic acids?,R–COOH + R'–OH → R–COOR' + H2O,Carboxylic acids react with alcohols in presence of acid catalyst forming esters (esterification).
Hydrocarbons,Alkyne Concepts,Why do alkynes undergo addition rather than substitution reactions?,π-bonds converted to σ-bonds,Addition reactions convert weaker π-bonds into stronger sigma bonds and are energetically favorable.
Equilibrium,Hydrolysis,Derive hydrolysis constant for salt of weak acid and weak base.,Kh = Kw/(Ka × Kb),"In salts like NH4CH3COO, both ions hydrolyze. Combining Ka and Kb relations leads to Kh = Kw/(Ka × Kb). This determines extent of hydrolysis."
Haloalkanes and Haloarenes,Haloarene Formation,Explain why diazonium salts are reactive intermediates.,ArN2+ → Ar+ + N2,"Loss of N2 gas (very stable) drives reaction forward, making diazonium salts highly reactive."
Redox Reactions,Titration,Explain redox titration principle.,electron transfer stoichiometry,Titration is based on equivalent electron exchange between oxidant and reductant.
Aldehydes and Ketones,Ketone Reactions,Explain mechanism of reduction using NaBH4 in detail.,R–CO–R' + NaBH4 → R–CHOH–R',Hydride ion attacks carbonyl carbon forming alkoxide intermediate. Protonation yields alcohol. Reaction proceeds via nucleophilic addition mechanism.
Alcohols Phenols Ethers,Phenol Formation,How is phenol prepared from chlorobenzene?,C₆H₅Cl + NaOH → C₆H₅OH + NaCl,Chlorobenzene reacts with NaOH at high temperature
Amines,Amine Reactions,Predict product when tertiary amine reacts with alkyl halide.,R3N + R'X → R4N+X−,Tertiary amines form quaternary ammonium salts via alkylation.
Equilibrium,Chemical Equilibrium,What is chemical equilibrium?,aA + bB ⇌ cC + dD,Chemical equilibrium is a dynamic state where forward and backward reaction rates are equal.
Polymers,Polymerization Mechanism,What is propagation step?,chain elongation,During propagation monomers continuously add to growing chain.
Amines,Amine Reactions,What happens when amines react with metals?,R–NH2 + Na → R–NHNa + H2,Amines can react with active metals forming salts and hydrogen gas.
Hydrocarbons,Alkyne Formation,Explain orbital structure of alkynes.,sp hybridization,Each carbon uses sp orbitals for sigma bonds while two unhybridized p-orbitals form perpendicular π-bonds.
Alcohols Phenols Ethers,Alcohol Tests,A compound A gives positive dichromate test and negative iodoform test. Identify A.,RCH2OH + [O] → RCOOH,A is a primary alcohol other than ethanol because it oxidizes but does not give iodoform test.
Alcohols Phenols Ethers,Phenol Properties,Why is phenol sparingly soluble in water?,C6H5OH + H2O ⇌ H-bonding,"Phenol can form hydrogen bonds with water through its –OH group, but the large hydrophobic benzene ring limits its interaction with water, reducing overall solubility."
Equilibrium,Acid–Base Theory,Derive Henderson–Hasselbalch equation for acidic buffer.,pH = pKa + log([salt]/[acid]),"The Henderson–Hasselbalch equation is derived from the expression of Ka for a weak acid. Rearranging Ka = [H+][A−]/[HA] and taking logarithm, we get pH = pKa + log([A−]/[HA]). This equation shows that pH depends on the ratio of salt (conjugate base) to acid and is widely used in buffer calculations."
Equilibrium,Solubility,Explain selective precipitation.,Ksp₁ vs Ksp₂,Salt with lower Ksp precipitates first because it requires lower ion concentration to exceed Ksp.
Redox Reactions,Equivalent Concept,Calculate equivalent mass of Fe2O3 in reduction to Fe.,160/6,Equivalent mass of Fe2O3 is 26.67.
Hydrocarbons,Alkene Reactions,What is hydration of alkene?,C=C + H2O → alcohol,Addition of water across the double bond is called hydration.
Physical Chemistry,Composition,Derive formula for percentage composition.,(element mass/molar mass)×100,Percentage composition is obtained by dividing elemental mass contribution by total molar mass.
Thermodynamics,Processes,What is a thermodynamic process?,state transformation,Process changes system from one state to another.
States of Matter,Gas Properties,Why are gases more compressible than liquids?,larger intermolecular spaces,Gases contain much more empty space.
Haloalkanes and Haloarenes,Haloalkane Concepts,Explain importance of haloalkane concepts.,R–X → reaction pathways,"Understanding structure and bonding helps predict substitution, elimination, and stereochemical behavior."
Aldehydes and Ketones,Ketone Tests,Explain role of pH in ketone test reactions.,R–CO–R' + reagent → product,"Many tests require specific pH conditions, such as alkaline medium for haloform reaction and acidic medium for derivative formation."
Haloalkanes and Haloarenes,Haloarene Concepts,Explain benzyne formation energetics.,Ar–X + strong base → benzyne,Formation of benzyne requires high activation energy because aromaticity is temporarily disrupted and strained intermediate forms.
Aldehydes and Ketones,Ketone Reactions,What happens when ketone reacts with water?,R–CO–R' + H2O ⇌ R–C(OH)2–R',"Ketones form gem-diol (hydrate), though less stable than aldehyde hydrates."
Haloalkanes and Haloarenes,Haloalkane Formation,Explain Markovnikov rule.,CH2=CH2 + HX → CH3–CHX,"Hydrogen attaches to carbon with more hydrogens, halogen to more substituted carbon."
Thermodynamics,Basic Concepts,Give examples of path functions.,heat and work,Heat and work depend on path taken.
Biomolecules,Proteins,Explain mechanism of disulfide bond formation.,2R–SH → R–S–S–R,Oxidation of cysteine residues forms disulfide bonds strengthening tertiary structure.
Polymers,Polymer Formation,Classify PVC polymerization type.,addition polymerization,PVC forms through free radical addition polymerization.
Aldehydes and Ketones,Ketone Reactions,How ketone reacts with RMgX?,R₂CO + RMgX → R₃COH,Grignard adds to carbonyl
Hydrocarbons,Alkene Concepts,Why are alkenes more reactive than alkanes?,π-bond weaker than σ-bond,"The π-bond breaks more easily than sigma bond, making alkenes more reactive."
Aldehydes and Ketones,Ketone Formation,How is nonanone (C₉H₁₈O) formed?,9C + 18H + O → C9H18O,Nine carbon atoms form a chain with carbonyl group located at an internal carbon atom
Structure of Atom,Quantum Numbers,Why are quantum numbers fundamental in chemistry?,electron arrangement basis,Chemical properties depend on electron arrangement.
Redox Reactions,Redox Reactions,Identify oxidizing and reducing agents in Fe2O3 + 3CO → 2Fe + 3CO2.,"Fe2O3 oxidizing, CO reducing",Fe3+ is reduced while CO is oxidized.
Haloalkanes and Haloarenes,Haloarene Reactions,What is importance of Fittig reaction?,Ar–X + Na → Ar–Ar,Fittig reaction is used to prepare biaryl compounds.
Carboxylic Acids,Carboxylic Acid Formation,How are aromatic carboxylic acids prepared from side chains?,C6H5CH3 + [O] → C6H5COOH,Alkyl side chain on benzene ring is oxidized to carboxylic acid using strong oxidizing agents.
States of Matter,Gas Properties,What is effusion?,gas escape through tiny hole,Effusion is escape of gas molecules through small opening.
Hydrocarbons,Alkyne Concepts,Why are alkynes important industrial feedstocks?,alkynes → vinyl compounds/polymers,"Alkynes are important starting materials in synthesis of plastics, solvents, and industrial chemicals."
Hydrocarbons,Alkyne Formation,Explain importance of acetylide ions in synthesis.,RC≡C− + R–X → RC≡CR,Acetylide ions are strong nucleophiles used for carbon-carbon bond formation.
Carboxylic Acids,Carboxylic Acid Formation,Predict product: CH3COCH3 + [O].,CH3COCH3 → CH3COOH,Methyl ketone undergoes oxidation forming carboxylic acid via cleavage.
Hydrocarbons,Alkane Reactions,Why does methane give multiple chlorinated products with excess chlorine?,CH4 → CH3Cl → CH2Cl2 → CHCl3 → CCl4,Each substituted product still contains hydrogen atoms which can undergo further chlorination.
Alcohols Phenols Ethers,Phenol Properties,Assertion: Phenol is acidic in nature. Reason: Phenoxide ion is resonance stabilized.,C6H5OH ⇌ C6H5O⁻ + H⁺,"Both assertion and reason are correct. The acidity of phenol arises due to resonance stabilization of phenoxide ion, which lowers energy of conjugate base and favors proton loss."
Haloalkanes and Haloarenes,Haloalkane Reactions,Explain Wurtz reaction limitations.,2R–X + 2Na → R–R,"Mixture of haloalkanes gives multiple products, limiting usefulness for unsymmetrical alkane synthesis."
Haloalkanes and Haloarenes,Haloarene Formation,Predict product in presence of multiple directing groups.,C6H4–Y1–Y2 + X2 → product,"Position is determined by strongest activating group; if conflict, steric factors decide."
Physical Chemistry,Concentration,Why is molality preferred in colligative properties?,temperature independent,Molality remains constant with temperature unlike molarity.
Aldehydes and Ketones,Aldehyde Tests,Why is Benedict’s test similar to Fehling’s test?,RCHO + Cu2+ → RCOOH + Cu2O,"Both tests involve reduction of Cu²⁺ ions to Cu₂O by aldehydes. The difference lies in composition of reagent, but principle remains same—oxidation of aldehyde and reduction of copper ions."
Amines,Amine Formation,Why is Gabriel synthesis not suitable for aryl halides?,Ar–X → no reaction,"Aryl halides do not undergo SN2 reactions due to partial double bond character of C–X bond and steric hindrance, making Gabriel synthesis ineffective."
Equilibrium,Acid–Base Theory,Derive pH of salt of weak base and strong acid.,pH = 7 − ½(pKb + log C),Solution becomes acidic due to hydrolysis producing H⁺ ions.
Alcohols Phenols Ethers,Ether Reactions,How to detect peroxide?,R–O–O–R + KI → I₂,Peroxide oxidizes iodide
Haloalkanes and Haloarenes,Haloalkane Concepts,Explain backside attack concept.,Nu− attacks opposite side,In SN2 mechanism nucleophile attacks opposite to leaving group causing inversion of configuration.
Alcohols Phenols Ethers,Ether Properties,Explain why crown ethers selectively bind metal ions.,crown ether + metal ion ⇌ complex formation,"Crown ethers have a ring structure with multiple oxygen atoms whose lone pairs coordinate with metal cations. The size of the cavity matches specific ions, allowing selective binding and stabilization."
Polymers,Polymer Types,Why are thermoplastics recyclable?,linear/slightly branched chains,Thermoplastics soften on heating because chains are not heavily cross-linked.
Alcohols Phenols Ethers,Alcohol Formation,Write reaction of alkyl halide to alcohol.,CH3Cl + OH⁻ → CH3OH + Cl⁻,An alkyl halide reacts with aqueous sodium hydroxide to form an alcohol. The halogen atom is replaced by a hydroxyl group through nucleophilic substitution.
Aldehydes and Ketones,Aldehyde Reactions,Predict product when benzaldehyde reacts with Tollens reagent.,C6H5CHO + [Ag(NH3)2]+ → C6H5COOH + Ag,Benzaldehyde reacts with Tollens reagent because it can undergo oxidation to benzoic acid while reducing silver ions to metallic silver.
Carboxylic Acids,Carboxylic Acid Reactions,How do carboxylic acids react with NaHCO3 test?,R–COOH + NaHCO3 → R–COONa + CO2 + H2O,Effervescence of CO2 confirms presence of carboxylic acid group.
Hydrocarbons,Alkane Formation,Formation from alkene by hydrogenation.,RCH=CH2 + H2 → alkane,Alkenes are converted into alkanes by catalytic hydrogenation.
Alcohols Phenols Ethers,Ether Reactions,Why HCl ineffective?,R–O–R + HCl → No reaction,Cl⁻ cannot cleave ether
Hydrocarbons,Alkane Reactions,Write the termination step in free radical chlorination.,Cl• + Cl• → Cl2,Free radicals combine together terminating the chain reaction.
Alcohols Phenols Ethers,Alcohol Reactions,Explain formation of ester using Fischer esterification.,CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O,Fischer esterification is a reversible reaction where alcohol reacts with carboxylic acid in presence of acid catalyst to form ester.
States of Matter,Kinetic Theory,What happens to gas pressure when temperature increases?,pressure increases,Higher temperature increases molecular speed and collisions.
Carboxylic Acids,Carboxylic Acid Formation,Explain formation of acid from cyanide under acidic conditions.,R–CN + H+ + H2O → R–COOH,Acid catalyzes hydrolysis converting nitrile to acid via amide intermediate.
Equilibrium,Chemical Equilibrium,Effect of pressure on N2 + 3H2 ⇌ 2NH3.,moles decrease → forward,Reaction shifts forward due to fewer moles on product side.
Alcohols Phenols Ethers,Phenol Reactions,"Why does phenol give 2,4,6-tribromophenol with bromine water without catalyst?",C6H5OH + 3Br2 → C6H2Br3OH + 3HBr,"The –OH group strongly activates the ring, so bromination occurs rapidly at all ortho and para positions even without a catalyst. The reaction proceeds easily in aqueous medium, leading to formation of tribromophenol as a white precipitate."
Redox Reactions,Redox Reactions,Why is respiration a redox reaction?,glucose oxidation,Glucose is oxidized while oxygen is reduced.
Redox Reactions,Basic Concepts,Why are oxidation numbers formal charges and not real charges?,hypothetical electron assignment,Oxidation numbers assume complete electron transfer.
Physical Chemistry,Atomic Mass,What is formula mass?,sum of atomic masses in ionic compound,Formula mass is sum of atomic masses represented by ionic formula.
Equilibrium,Solubility,Calculate minimum concentration for precipitation.,Qsp = Ksp,Set Qsp equal to Ksp and solve for unknown concentration to find threshold for precipitation.
Polymers,Polymer Classification,What are elastomers?,natural rubber,Elastomers are elastic polymers capable of stretching.
Equilibrium,Acid–Base Theory,Define buffer solution.,weak acid + salt ⇌ equilibrium,A buffer solution resists change in pH when small amount of acid or base is added due to equilibrium between weak acid and its conjugate base.
Redox Reactions,Redox Reactions,Why is H2O2 both oxidizing and reducing agent?,oxygen oxidation state −1,Oxygen in peroxide can either gain or lose electrons.
Alcohols Phenols Ethers,Ether Properties,Explain why diethyl ether has higher boiling point than propane but lower than ethanol.,C2H5OC2H5 ⇌ dipole interaction ; C3H8 ⇌ dispersion forces ; C2H5OH ⇌ hydrogen bonding,"Propane is non-polar and experiences only weak London dispersion forces, so it has the lowest boiling point. Diethyl ether is polar and has dipole–dipole interactions, giving it a higher boiling point than propane. However, ethanol forms strong hydrogen bonds, making its boiling point much higher than ether. Thus, the order is propane < ether < alcohol."
Hydrocarbons,Alkane Concepts,Explain the tetravalency of carbon in alkanes.,C: 1s2 2s2 2p2,"Carbon forms four covalent bonds to complete its octet, leading to stable alkane structures."
Physical Chemistry,Measurements,Why are SI units universally accepted?,global standardization,SI system ensures uniformity in scientific communication.
Haloalkanes and Haloarenes,Haloalkane Concepts,Explain inductive effect in haloalkanes.,−I effect of X,Halogens withdraw electron density through sigma bonds affecting stability and reactivity.
Carboxylic Acids,Carboxylic Acid Properties,Are acids soluble in water?,RCOOH + H₂O → soluble,Hydrogen bonding with water
Equilibrium,Basic Concepts,"If K is very large, what is composition?",K >> 1 → products,Equilibrium mixture contains mostly products.
States of Matter,Kinetic Theory,Why does distribution curve broaden at high temperature?,greater speed variation,Higher temperatures increase range of molecular energies.
Equilibrium,Chemical Equilibrium,What is Kc?,Kc = [Products]/[Reactants],Depends on stoichiometry
Hydrocarbons,Alkyne Formation,How is nonyne (C₉H₁₆) formed?,9C + 16H → C9H16,Nine carbon atoms form a chain with one triple bond and combine with hydrogen atoms
Thermodynamics,Thermodynamic Properties,What are extensive properties?,"M, V","Example: mass, volume"
Redox Reactions,Oxidation Number,Why can same element show multiple oxidation states?,variable electron participation,Different numbers of electrons may participate in bonding.
Haloalkanes and Haloarenes,Haloalkane Formation,Formation from alkene using HBr (peroxide effect).,RCH=CH2 + HBr → RCH2–CH2Br,"In presence of peroxide, HBr adds via anti-Markovnikov rule due to free radical mechanism."
Alcohols Phenols Ethers,Ether Reactions,Explain difference between cleavage using HI and PCl5.,R–O–R + HI → RI + R'OH ; R–O–R + PCl5 → RCl + RCl + POCl3,"HI cleaves ether via protonation and nucleophilic substitution, while PCl5 replaces oxygen with chlorine forming two alkyl chlorides through a different mechanism involving phosphorus intermediate."
Redox Reactions,Oxidation Number,What is sum of oxidation numbers in polyatomic ion?,equals ionic charge,Sum of oxidation numbers equals overall ionic charge.
Hydrocarbons,Alkene Formation,Explain stereospecificity of E2 elimination.,anti elimination → stereospecific alkene,Different stereochemical arrangements produce specific alkene stereoisomers depending on anti geometry.
Biomolecules,Carbohydrates,Explain why sucrose is non-reducing sugar.,sucrose + Tollens → no reaction,"Both anomeric carbons are involved in glycosidic bond, so no free aldehyde or ketone group."
Equilibrium,Le Chatelier Principle,Predict shift when pressure decreases and Q > K.,A ⇌ B,"If Q > K, reaction shifts backward. Pressure decrease favors side with more moles. Final direction depends on Δn; both factors must be analyzed together."
Thermodynamics,Basic Concepts,What is work?,energy transfer by force,Work occurs when force causes displacement.
Equilibrium,Chemical Equilibrium,Explain Gibbs free energy relation with K.,ΔG° = −RT ln K,Shows equilibrium constant depends on thermodynamic parameters.
Redox Reactions,Equivalent Concept,What is equivalent weight?,Eq wt = M/n,Used in titration calculations
Alcohols Phenols Ethers,Phenol Properties,Which has higher acidity: phenol or benzoic acid?,C6H5OH ⇌ C6H5O⁻ + H⁺ ; C6H5COOH ⇌ C6H5COO⁻ + H⁺,"Benzoic acid is more acidic because its conjugate base is stabilized by resonance over two oxygen atoms, which is more effective than stabilization in phenoxide ion."
Carboxylic Acids,Carboxylic Acid Properties,Why are carboxylic acids acidic?,RCOOH → RCOO⁻ + H⁺,Carboxylate ion has delocalized negative charge
States of Matter,Gas Laws,Why do lighter gases possess higher RMS speed?,inverse molar mass dependence,Lower molar mass increases molecular speed.
Redox Reactions,Basic Concepts,Explain balancing of redox reactions by oxidation number method.,electron balance,Total increase and decrease in oxidation numbers are balanced.
Amines,Amine Reactions,Predict product when benzene diazonium chloride reacts with KI.,C6H5N2+Cl− + KI → C6H5I + N2,Diazonium group is replaced by iodine forming iodobenzene.
Equilibrium,Hydrolysis,Predict behavior when hydrolysis is complete.,h ≈ 1,"If hydrolysis is nearly complete, solution behaves like weak acid/base solution rather than salt."
Alcohols Phenols Ethers,Phenol Reactions,Predict product when phenol reacts with acetic anhydride.,C6H5OH + (CH3CO)2O → C6H5OCOCH3 + CH3COOH,Phenol undergoes esterification with acetic anhydride forming phenyl acetate. The reaction is slower than alcohol esterification due to reduced nucleophilicity of phenol.
Chemistry in Everyday Life,Food Chemistry,What are vitamins?,food → vitamins,Vitamins are organic compounds required in small amounts for metabolism.
States of Matter,Gas Laws,What happens to gas volume when pressure increases?,volume decreases,According to Boyle’s law volume decreases with pressure increase.
Equilibrium,Hydrolysis,Calculate pH when Kb > Ka for salt of weak acid and weak base.,pH = 7 + ½(pKa − pKb),"If pKb < pKa, expression becomes negative, so pH < 7. Thus solution is acidic."
Polymers,Polymer Formation,Why does vulcanization improve elasticity of rubber?,sulfur cross-links,Sulfur bridges prevent permanent deformation.
Alcohols Phenols Ethers,Ether Properties,Why does boiling point of ethers increase with molecular mass?,R–O–R ⇌ stronger dispersion forces,"As molecular mass increases, the size and surface area of molecules increase, leading to stronger London dispersion forces. Even though hydrogen bonding is absent, these forces raise the boiling point with increasing chain length."
Redox Reactions,Equivalent Concept,Why is equivalent concept useful in volumetric analysis?,simplifies concentration calculations,Normality calculations directly use equivalents.
Hydrocarbons,Alkyne Formation,Predict product using excess hydrogen in reduction.,RC≡CR + 2H2 → alkane,Complete hydrogenation converts alkyne into alkane.
Physical Chemistry,Stoichiometry,Calculate volume of oxygen needed for combustion of 22.4 L methane at STP.,CH4 + 2O2 → CO2 + 2H2O,22.4 L methane requires 44.8 L oxygen.
Physical Chemistry,Atomic Mass,Define isotopes.,"same Z, different mass number",Isotopes are atoms with same atomic number but different mass numbers.
Equilibrium,Buffer Solutions,Explain effect of ionic strength on buffer.,a = γC,"Ionic strength affects activity coefficients, slightly altering effective concentrations and hence pH."
Equilibrium,Acid–Base Theory,What is neutralization reaction?,HCl + NaOH → NaCl + H2O,Neutralization is reaction between acid and base forming salt and water.
Hydrocarbons,Alkane Concepts,Why is the C–H bond of methane stronger than that of higher alkanes?,sp3 C–H bond in CH4,"Methane has maximum effective overlap and least electron-releasing alkyl substitution, giving slightly higher bond dissociation enthalpy."
Thermodynamics,Heat,Why are heat and temperature different?,energy transfer vs thermal state,Heat is energy in transit while temperature is a property.
Thermodynamics,First Law,Why is ΔU independent of path?,state function property,Only initial and final states matter.
Alcohols Phenols Ethers,Ether Properties,Why does branching affect boiling point of ethers?,R–O–R ⇌ reduced surface interaction,"Branching reduces surface area available for intermolecular interactions, weakening dispersion forces. This results in lower boiling point for branched ethers compared to straight-chain isomers."
Amines,Amine Reactions,What is reaction of amines with acid anhydrides?,R–NH2 + (R'CO)2O → R–NHCO–R' + R'COOH,Amines react with acid anhydrides forming amides along with carboxylic acid.
Equilibrium,Hydrolysis,Explain effect of dilution on hydrolysis quantitatively.,h = √(Kh/C),"As concentration decreases, h increases, meaning hydrolysis is more pronounced in dilute solutions."
Alcohols Phenols Ethers,Ether Properties,Assertion: Ethers form peroxides on exposure to air. Reason: Ethers undergo radical oxidation.,R–O–R + O2 → ROOR,"Both assertion and reason are correct. Oxygen reacts with ethers via radical mechanism forming unstable peroxides, especially in presence of light."
Polymers,Polymerization Mechanism,Explain cross-linking mechanism.,covalent interchain bonding,Cross-linking forms covalent bridges between polymer chains.
Haloalkanes and Haloarenes,Haloarene Concepts,Predict outcome in mixed directing-effect problems.,multiple substituents,"Orientation depends on combined resonance, inductive, and steric effects of all substituents."
Biomolecules,Carbohydrates,What is lactose hydrolysis?,C12H22O11 + H2O → glucose + galactose,Lactose hydrolyzes into glucose and galactose.
Hydrocarbons,Alkane Reactions,What happens when methane reacts at very high temperature?,2CH4 → C2H2 + 3H2,At very high temperature methane undergoes pyrolysis producing acetylene.
Physical Chemistry,Gas Stoichiometry,Why are gas volume ratios equal to mole ratios?,Avogadro’s law,Equal gas volumes contain equal number of molecules at same conditions.
Alcohols Phenols Ethers,Ether Properties,Assertion: Ethers are polar compounds. Reason: Oxygen atom creates dipole moment.,R–O–R ⇌ dipole formation,"Both the assertion and reason are correct. The oxygen atom is more electronegative than carbon, creating polar C–O bonds. Due to molecular geometry, these dipoles do not cancel completely, resulting in a net dipole moment."
Hydrocarbons,Alkene Reactions,How is ozonolysis useful in structure determination?,double bond cleavage products,The carbonyl products formed help identify the position of the original double bond.
Thermodynamics,Processes,Why are thermodynamic processes important?,describe energy transformations,"They explain engines, refrigerators, and chemical reactions."
Biomolecules,Vitamins,What is vitamin D?,cholesterol → vitamin D,Vitamin D is synthesized from cholesterol and helps in calcium absorption.
Polymers,Polymer Classification,What are thermosetting polymers?,Bakelite → rigid structure,Cross-linked structure
Redox Reactions,Titration,What is secondary standard?,requires standardization,Secondary standards require prior concentration determination.
Structure of Atom,Quantum Numbers,What is Aufbau principle?,lower energy filling,Electrons fill lower energy orbitals first.
Alcohols Phenols Ethers,Alcohol Properties,Why are alcohols colorless?,ROH ⇌ stable structure,"Alcohols do not absorb visible light significantly due to absence of conjugated systems, hence they appear colorless."
Structure of Atom,Bohr Model,What is Balmer series?,transitions ending at n=2,Balmer series lies in visible region.
Chemistry in Everyday Life,Food Chemistry,Explain antioxidant mechanism.,free radical + antioxidant → stable product,Antioxidants donate electrons neutralizing free radicals preventing damage.
Hydrocarbons,Alkyne Reactions,Predict the product formed when terminal alkyne reacts with NaNH2.,RC≡CH + NaNH2 → RC≡CNa,Sodamide removes acidic terminal hydrogen forming sodium acetylide.
Haloalkanes and Haloarenes,Haloarene Concepts,Why are haloarenes less reactive than haloalkanes?,strong Ar–X bond,"Partial double bond character makes C–X bond shorter and stronger, reducing reactivity."
Alcohols Phenols Ethers,Ether Properties,Why are ethers miscible with most organic solvents?,R–O–R + organic solvent ⇌ dispersion interaction,"Ethers contain non-polar alkyl groups that interact well with organic solvents via dispersion forces, making them highly miscible in organic media."
States of Matter,Liquid State,Why do liquids possess intermediate properties between solids and gases?,intermediate intermolecular forces,Liquids have moderate particle attraction and mobility.
Physical Chemistry,Gas Laws,Write mathematical expression of Charles’ law.,V1/T1 = V2/T2,"At constant pressure, ratio of volume to absolute temperature remains constant."
Carboxylic Acids,Carboxylic Acid Formation,Predict product: C6H5CH3 + KMnO4.,C6H5CH3 → C6H5COOH,Toluene oxidizes at benzylic position forming benzoic acid irrespective of chain length.
Physical Chemistry,Composition,Calculate percentage composition of chlorine in NaCl.,35.5/58.5 ×100,Percentage of chlorine in sodium chloride is 60.68%.
Chemistry in Everyday Life,Food Chemistry,Explain advanced Maillard reaction chemistry.,sugar + amino acid → complex compounds,Forms melanoidins responsible for browning and flavor in cooked foods.
Hydrocarbons,Alkane Concepts,What is the first member of alkane series?,CH4,Methane is the simplest alkane containing one carbon atom.
Physical Chemistry,Mole Concept,What is percentage composition?,(mass of element / molar mass) ×100,Percentage composition gives percentage mass of each element in a compound.
Thermodynamics,Work,Why do gases perform significant work?,large volume changes,Gases expand and compress easily.
Polymers,Polymer Structure,Give example of branched polymer.,LDPE,Low-density polyethylene contains branched chains.
States of Matter,Real Gases,Why does Z vary with pressure?,changing intermolecular interactions,Attractions and repulsions dominate differently at different pressures.
